,title,title_label,description,description_label
0,오석규 경기도의원 경기도자비엔날레 격년제 내부 문제로 개최 연도 ,0,이 자리에서 오 의원은 경기도자비엔날레는 년부터 격년 주기로 개최해 왔고 심지어 코로나 시기에도 진행됐으나 지난 년 개최 이후 년 미개최 년에 개최된 이유 를 질문했다 최문환 한국도자재단 대표이사는 ,0
1,애경그룹 지주사 대표이사에 고준 플라자 대표 선임,1,이후 코로나 사태로 어려움을 겪던 년 플라자 대표이사로 자리를 옮겨 위기 극복을 위한 초석을 마련했다 플라자 대표이사 자리는 이강용 플라자 상품본부장이 상무로 승진해 맡는다 이강용 신임 ,0
2,하동군 청소년 문화교류단 자매도시 중국 호남성 장자제시 교류 방문,0,군 관계자는 코로나 로 중단된 교류를 다시 이어나가게 돼서 기쁘다 며 이번 교류를 통해 청소년들이 다양한 문화를 경험하고 세계관을 넓힐 수 있길 바란다 라고 밝혔다 장자제시의 민족중학교 문화교류단은 내년 ,0
3,육림고개 주말 천 명 방문 시절 아 옛날이여 ,1, 송예린 본인 한때 춘천의 경리단길 로 불렸던 춘천 원도심 상권 중 하나인 육림고개 골목은 코로나 코로나 전이기도 하고 시에서 신경 써줘서 청년들이 많이 와서 오픈하고 그랬어요 처음엔 잘 됐는데 뒤에 무슨 ,0
4, 이노엔 타미플루 국내 유통 계약 체결,0, 코로나 팬데믹으로 발병률이 잠시 감소했으나 엔데믹 이후 년 넘게 독감 유행이 지속되면서 독감치료제 시장은 점차 성장하는 추세다 곽달원 이노엔 대표는 지난해 인플루엔자 치료제 조플루자 의 유통 및 ,0
5,안양 향토기업 노루페인트 소외이웃에 배추 기부,1, 코로나 시기에는 쌀도 기부했다 노루페인트 관계자는 배춧값 폭등에 김장을 포기하는 안양 가구가 늘어난다는 소식을 들어 이번 나눔을 기획했다 며 상생문화가 지역사회로 확산하도록 노력하겠다 고 말했다 ,0
6,안산시 이민근 시장 중국 옌타이시 대표단 접견 우호 협력 논의,1,양 도시 간의 이번 대면 만남은 코로나 펜데믹 이후 처음으로 이루어졌다 앞서 지난 년부터 총 일곱 차례의 청소년 국제문화교류사업을 추진 양 도시 청소년들의 글로벌 비전 향상을 위한 현지 청소년 교류 및 역사 ,0
7,애경그룹 홀딩스 대표이사에 고준 플라자 대표 선임,1,그는 지난 년 월 코로나 팬데믹 영향으로 어려움에 부닥쳐 있던 플라자 대표이사로 옮겨 홍대점의 변화를 이끌었다는 평가를 받는다 플라자 대표이사에는 이강용 플라자 상품본부장이 신규로 ,0
8,내수 부진 장기화에 판매직 종사자 만 명 감소,0, 코로나 유행 당시 수준으로 회귀한 것인데 특히 청년층에 집중돼 또 다른 고민을 낳고 있다 일 통계청 국가통계포털에 따르면 올해 월 월평균 판매종사자는 만 명으로 전년 동기 대비 만 명 ,0
9, 세계 제조업 보조금 년 새 배 증가 직접 지원 필요 ,1, 코로나 전후 년을 비교해보면 코로나 이전 년간 억달러에서 이후 년간 조 억달러로 배 증가했다 제조업 보조금을 가 분류한 세부 유형별로 분석한 결과 지난 년간 정부대출 이 억달러 ,0
10, 경영지원 대표에 허민회 내정 연말인사 임박,1, 코로나 여파로 가 경영난을 맞자 허 대표는 년 월 대표로 투입 영화관 체질 개선에 나섰다 그룹의 이번 정기 임원 인사는 소폭일 것으로 전망된다 작년에는 실적 부진 속에 해를 넘겨 올해 ,0
11,재개발 재건축사업 기회인가 위기인가 ,0,그리고 코로나 이후부터 지금까지의 수도권 아파트 공급상황과 건설경기 악화 상황을 보면 수년 후 또다시 공급 부족에 따른 아파트 가격 폭등이 올 수 있다는 예측이 공공연히 거론된다 그렇다면 이러한 시기에 재개발 ,0
12,양산시 겨울철 독감 코로나 예방접종 집중 홍보,0, 코로나 예방접종의 경우 대상자의 범위가 기존 세 이상 어르신 면역저하자 감염취약시설 입원 이며 코로나 예방접종은 어르신 명 이 접종을 완료했으나 평년 대비 높은 기온 여파로 독감 ,0
13,소아청소년병원 입원환자 가 감염환자,0,소아청소년병원 입원환자 명 중 명이 마이코플라즈마 폐렴 코로나 아데노바이러스 등 소아감염질환 최용재 소아청소년병원협회 회장 의정부튼튼어린이병원장 은 코로나 이전에는 입원실 감염환자와 ,0
14, 그룹 임원 인사 임박 허민회 지주사 대표 내정,1, 코로나 여파로 가 경영난에 처하자 허 대표는 년 월 대표이사로 투입돼 영화관 체질 개선에 나섰다 한편 이날 그룹 정기 임원 인사는 소폭일 것으로 예상된다 ,0
15,한국 항생제 오남용 경보 항생제 부적절 처방 약 ,1,항생제 내성의 심각성은 코로나 이후 부각됐다 세계보건기구 는 지난 월 코로나 입원환자 중 항생제가 필요했던 환자는 였지만 환자의 가 항생제를 처방받았다고 보고했다 는 코로나 이후 항생제 ,0
16,경남 최고 알짜 항로 매물도행 여객선 또 운항 중단 왜 ,1, 코로나 팬데믹 후유증을 좀처럼 벗어나지 못하고 있다 설상가상 수지 개선을 위한 고육책조차 허가청 하지만 코로나 사태를 비껴가진 못했다 년 한해 만여 명에 달했던 수송인원은 코로나 가 창궐한 년 ,0
17, 코로나 후유증 만성피로 보중익기탕 치료효과 확인,0,보중익기탕이 코로나 후유증 개선에 효과가 탁월하다는 연국결과가 나왔다 한국한의학연구원 이하 만성 코로나 증후군을 완화하는 학약재를 개발했다고 일 밝혔다 이번 연구는 만성 코로나 증후군으로 ,0
18, 김대호의 경제읽기 한국 원화 가치 주가 큰 폭 하락 약세 원인은 ,0, 질문 이런 가운데 판매직 고용 상황이 코로나 수준으로 나빠진 걸로 나타났습니다 지난달까지 월평균 판매 종사자 수가 만 천 명으로 지난해 같은 기간보다 만 명 줄어들었는데 내수 부진 여파일까요 질문 ,0
19, 코로나 이후 최다 관람객 게임 축제 지스타 성료,0, 가 코로나 이후 역대 최다 관람객을 기록하며 성황리에 막을 내렸다 일 지스타조직위원회에 따르면 지스타 가 열린 나흘간 약 만 명의 방문객이 지스타 현장을 찾은 것으로 나타났다 지스타조직위원회는 ,0
20,나리타 공항에서 바라본 경제 엔화 약세에 인바운드 관광객 늘어 ,0,수는 코로나 가 발생하기 전인 년의 천 만 명을 넘어설 것이 거의 확실시된다 며 일각에서는 천 만 타무라 사장은 인바운드 관광의 반대편에는 엔화 약세가 역풍으로 작용하고 있다 며 또한 코로나 ,0
21,팬데믹 수준 고용 악화 내수 부진에 판매직 만 급감,0, 코로나 가 유행한 년과 비슷한 감소 폭으로 내수 부진 영향으로 해석된다 일 통계청의 올해보다 감소 폭이 컸던 해는 코로나 가 유행한 년 만 천명 과 년 만 천명 뿐이다 코로나 유행이 ,0
22, 금융의 호랑이 이영종 신한라이프생명보험 편 영업수익 꾸준히 성장 ,1,지급여력비율의 산정 기준이 변경되고 코로나 부터 지속되던 금리 인상기조가 미국의 기준금리 하락 전환으로 끝남에 따라 한국도 금리를 인하하며 보험사의 이익에 어떠한 영향을 미칠지에 관심이 쏠리고 있다 ,0
23, 바다거북이만 걱정일까,0,최근 자료를 찾아보니 코로나 팬데믹 이후 플라스틱 소비가 더 늘어 년 기준 인당 이라고 한다 세상이 더 나아질 것이라는 기대는 어쩌면 순진했다 예기치 않은 코로나 팬데믹이 발생했고 플라스틱 문제 ,0
24,판매직 고용 뚝 청년층 직격탄 정부 고용목표 달성 적신호 ,0,고용이 코로나 팬데믹 기간 수준으로 악화된 것으로 나타났다 특히 올해 판매직 고용은 전년보다 약 이는 차 표준직업분류 기준이 적용된 년 이후 월 기준 번째로 큰 감소 폭이며 코로나 가 ,0
25, 진단 금융공기업 예금보험공사 안전한 금융의 파수꾼인가 문제 많은 ,1, 코로나 의 영향을 고려하더라도 최근 연도의 활동 횟수는 여전히 매우 낮은 수준이다 기부 금액도 지속적으로 감소 추세를 보이고 있다 년 약 억원이었던 기부 금액이 년에는 약 억원으로 줄어들었다 ,0
26,나무기술 정철 대표 중소기업 기술 경영 혁신대전서 장관 표창 수 ,1,특히 질병관리청의 코로나 확진자 데이터 분석 시스템 구축을 통해 공공 부문의 데이터 관리 기반을 마련하는 데 중요한 역할을 했다 또한 메타클라우드 기술을 적용한 스페로 는 멀티 및 하이브리드 ,0
27, 분기 연속 적자 롯데면세점 명 인력 감축,1,롯데면세점은 코로나 대유행 기간에 직격탄을 맞으면서 비용 절감을 위한 인원 감축에 들어갔다 롯데면세점이 불황을 겪는 이유는 코로나 대유행에 줄어든 면세 고객 수가 회복되지 않아서다 ,0
28,삼성 넘어선 하이닉스 굳건해지는 반도체 각 동맹 ,1, 코로나 펜데믹 이후 반도체 수요 회복이 지연되면서 메모리 가격 역시 하락세로 돌아섰지만 하이닉스의 경우 메모리 반도체 업황 둔화에도 불구 연구를 위한 인력 확보 및 투자를 아끼지 않았던 것으로 ,0
29,모바일 강국 변한다 게임산업 미래 엿본 지스타 ,0, 코로나 이후 지독한 침체기를 겪은 게임사들은 서구권 진출을 위해 콘솔 게임에서 새 돌파구를 마련하는 모습이었다 를 통한 게임 개발 흐름도 본격화하고 있었다 흥행 열쇠 로 불리는 지식재산권 활용을 둔 ,0
30, 김진화 칼럼 중소기업 대출이 부실뇌관 상생금융 축소하는 금융권,0,그마저도 코로나 소상공인 지원 대출을 제외하면 눈에 띄는 상품은 보증료의 를 지원하는 코로나 이후 일시적으로 어려움을 겪고 있는 중소기업 소상공인 차주를 외면하면 단기적으로 건전성을 개선할 수 ,0
31, 개월 만에야 내수회복 철회한 기획재정부 경기전망,0,않는 비경제활동 청년층이 크게 늘고 있는 것이다 지난 달 쉬었음 청년은 만 명으로 년 전보다 만 명 증가했다 월 기준으로 볼 때 코로나 위기였던 년 이후 년 만에 최대 규모다 성홍식 기자,0
32, 오늘의 인 모바일로 방한 외국인 체류 경험 개선할 것 ,0,이는 코로나 이전 대비 에 근접한 수준이다 정부는 올해 총 만명의 외국인 관광객 유치를 목표하고 게다가 년 이후부턴 외국인 관광객 급감과 시장 축소 등 코로나 팬데믹 위기도 견뎌내야 했다 장 대표는 ,0
33,지역책임의료기관 없는 중진료권 곳,0,지역 인구감소와 지방소멸이 진행되는 와중에 년 코로나 전담병원으로 지정되어 팬데믹 기간 년 동안 감염병에 대응하였다 이후 의료인력의 소진과 유출로 인해 지역 책임의료기관 기능을 수행하기에는 역량이 ,0
34,하동군 청소년 문화교류단 자매도시 중국 장자제시 방문,0,군 관계자는 코로나 로 중단된 교류를 다시 이어나가게 돼서 기쁘다 며 이번 교류를 통해 청소년들이 다양한 문화를 경험하고 세계관을 넓힐 수 있길 바란다 라고 말했다 한편 장자제시의 민족중학교 ,0
35,서학개미 규모 역대 최대,1,이는 코로나 팬데믹 이후로 해외 주식 투자가 급증한 데 이어 작년 하반기부터 본격화된 해외채권 투자 년엔 에 그쳤지만 코로나 팬데믹을 거치면서 년 년 년 순으로 커졌다 ,0
36, 과학을 읽다 손정의 젠슨황이 삼성에 주는 교훈,1, 코로나 사태의 와중에는 대규모로 투자한 위워크 우버의 추락으로 대규모 적자 사태에 시달렸다 위기를 해결하고자 시대에 엔비디아와 함께 반도체 분야의 핵심으로 부상한 을 매각하려고까지 했다 하지만 지금 ,0
37,안산시 찾은 옌타이산업기술연구원 대표단 인재교류 방점,1,중국 옌타이시 산업기술연구원 대표단이 코로나 펜데믹 이후 처음으로 경기 안산시를 방문 년간의 우호를 재확인했다 중국 산둥성 북동부에 위치한 옌타이시는 인구 약 만명의 항구도시다 앞서 년 월 ,0
38,이민근 안산시장 옌타이시 대표단 접견 과학기술 등 정책 협력,1,양 도시 간의 이번 대면 만남은 코로나 팬데믹 이후 처음으로 이루어졌다 앞서 양 도시는 년부터 총 차례의 청소년 국제문화교류사업을 추진 양 도시 청소년들의 글로벌 비전 향상을 위한 현지 청소년 교류 및 역사 ,0
39, 인터뷰 미망 김태양 감독 우연과 필연의 순간 들 ,1,기획했는데 코로나 팬데믹이 겹치면서 단편으로 공개하게 된 케이스다 독립영화이다 보니 한 번에 제작비를 마련하기 어려워 파트별로 구성하게 됐다 막과 막을 공개하면서 제작지원을 받자는 전략이었다 코로나 로 ,0
40,코엑스 푸드위크 노터치로 스마트하게 로봇이 요리 서빙 트렌드 공 ,0,푸드위크 사무국은 코로나 팬데믹을 기점으로 외식 소비 패턴이 달라진 점에 주목하며 향후 푸드테크가 터치 를 통한 편의성 확보의 측면과 노터치 를 통한 효율성 증대의 측면으로 발전할 것이라 ,0
41,한약으로 코로나 후유증 잡는다,1,만성 코로나 증후군에 대한 한약의 후유증 완화 효능을 확인했다고 일 밝혔다 이번 연구는 만성 코로나 증후군으로 인한 피로와 인지기능 저하에 대한 한약의 치료 효과와 안전성을 평가하는 데 중점을 뒀다 연구 ,0
42, 코로나 환자에 항생제 오남용 많아 내성 위험 커져,0,신종 코로나 바이러스 감염증 코로나 입원환자 중 항생제가 필요한 사례는 임에도 전체 환자의 가 항생제를 사용한 것으로 드러났다 일 질병관리청에 따르면 세계보건기구 는 지난 월 코로나 팬데믹의 ,0
