,title,title_label,description,description_label
0,이수페타시스 제이오 인수 추진,1,그러던 중 코로나 사태를 겪으면서 비대면 수요가 급증했고 이로 인해 전세계 데이터 송수신에 부하가 걸리면서 이수페타시스의 고다층기판 이 점점 대중에게 부각되기 시작했다 이어서 시대로의 ,1
1,연말 특수 없나 고물가 속 외식업계 경기 침체 장기화,0, 는 외식업의 경우 여전히 높은 체감물가로 인한 소비심리 회복 지연과 코로나 이후 연말 회식 및 모임이 감소하면서 이전과 같은 연말 특수를 기대하기는 다소 어려울 것으로 판단된다 고 밝혔다 반면 외식을 ,1
2,팬오션 주가 힘찬 뱃노래 영업이익 등 실적호전 지속 부푼 꿈 ,1, 코로나 팬데믹 이후 회복세가 지속되면서 글로벌 물동량이 증가하며 해운 시장이 활기를 띠고 있다 수요 증가에 따른 운임 상승이 영업이익 증가에 기여하고 있으며 선대 운영 효율화를 통해 비용을 절감하고 ,1
3,울주군의회 건설위 한우불고기축제 정상화 방안 모색,0, 년부터 시작돼 매년 언양과 봉계 지역에서 번갈아 가며 격년제로 열려 오던 한우불고기축제는 아프리카 돼지열병 확산과 코로나 확산 등 외부적 영향으로 일정 기간 개최되지 못했다 년 년 만에 봉계 ,1
4,애경그룹 홀딩스 플라자 대표이사 교체 명 임원인사 단행,0,특히 년 월 플라자 대표이사로 부임한 후에는 코로나 팬데믹으로 어려움을 겪던 플라자의 위기 극복에 주력했다 홍대점의 컨셉 개편을 통해 실적 정상화를 이끄는 등 가시적인 성과를 거둔 것으로 ,1
5,애경그룹 홀딩스 대표이사에 고준 플라자 대표,1,그는 년 월 코로나 팬데믹 전염병의 세계적 대유행 영향으로 어려움에 부닥쳐 있던 플라자 대표이사로 옮겨 홍대점의 변화를 이끌었다는 평가를 받는다 플라자 대표이사에는 이강용 플라자 ,1
6, 개시 년 만에 까지 섭렵 홍콩서 기회 찾는다 인터뷰 ,1,그는 아시아 상장을 노리는 해외 대형 기업들이 주로 찾는 만큼 홍콩은 금융허브로서 지위를 갖췄다 며 물론 코로나 등을 거치며 시장이 조원에서 조원 규모로 줄긴 했지만 올해 조원이상 확장할 ,1
7, 교실 창가에서 사회정서교육의 성공적인 학교 정착을 기대하며,1, 코로나 라는 사회적 팬데믹 이후 그 속도가 가속화되고 있으며 이는 우리 사회의 많은 변화를 가져왔다 이는 코로나 이후 학생들의 사회정서 위험 지표가 점차 심각해지는 현상에 대한 의미 있는 정책으로 ,1
8,익산시의회 이종현 의원 영세 소상공인 생존권 보호에 앞장서,1,이종현 의원은 코로나 이후 고물가 고금리 등 감당하기 어려운 부담에 직면한 영세 소상공인들의 열악한 경영환경에 조금이나마 도움을 드리기 위해 조례를 개정하게 됐다 고 조례안 개정 배경을 밝혔다 ,1
9,청주 옥산면 웨딩홀 경매 회 유찰,0,하지만 코로나 로 인한 인력난 건설 자재 수급 지연 등에 따라 준공은 수차례 지연됐고 결국 멈춰섰다 당시 웨딩홀 측은 건립 지연에 따른 식장 예약 취소로 신혼부부들이 혼란을 빚기도 했다 현재 해당 건물은 ,1
10, 지배구조모니터 관계사 자금이동 활발 오너 세 수혜 ,0, 코로나 대유행에 따른 해운업 호황에 힘입어 영업이익이 급증 부담은 줄었으나 시중금리 상승에 차입 이자 규모는 커졌다 시노코페트로의 지난해 이자 비용은 억원으로 전년 대비 증가했다 영업이익 상승 ,1
11, 년 우정 되새기며 미래로 나아가자 ,1,이번 행사는 코로나 이후 두 도시 간 첫 대면 교류로 양 도시의 우정을 되새기고 미래 협력 방안을 논의하는 자리였다 환영식은 두 도시의 교류 역사를 되돌아보며 오랜 우정을 확인했고 기념식은 비전을 공유하며 미래 ,1
12,한국생활용품협동조합 알파오메가 출범 소상공인 플랫폼,1,배명호 이사장 사진 한국생활용품협동조합 이번 플랫폼은 코로나 와 경기 침체로 어려움을 겪는 소상공인들의 자구책으로 월 말 현재 여 개 업체가 이미 참여를 확정했다 알파오메가 는 공동 구매와 독자 ,1
13,거창군 가조면 도리 개 마을 경로 위안잔치 개최,0,특히 도리는 과거 구 청년회가 주관하는 형제계 활동을 통해 경로잔치를 운영해 왔으나 코로나 로 인해 수년간 중단되었다가 마을 이장과 주민들의 뜻을 모아 이번 행사를 재개했다 도리는 예로부터 주민 간 소통과 ,1
