,title,description,title_label,description_label
0,이수페타시스 제이오 인수 추진,그러던 중 코로나 사태를 겪으면서 비대면 수요가 급증했고 이로 인해 전세계 데이터 송수신에 부하가 걸리면서 이수페타시스의 고다층기판 이 점점 대중에게 부각되기 시작했다 이어서 시대로의 ,1,1
1,연말 특수 없나 고물가 속 외식업계 경기 침체 장기화, 는 외식업의 경우 여전히 높은 체감물가로 인한 소비심리 회복 지연과 코로나 이후 연말 회식 및 모임이 감소하면서 이전과 같은 연말 특수를 기대하기는 다소 어려울 것으로 판단된다 고 밝혔다 반면 외식을 ,0,1
2,오석규 경기도의원 경기도자비엔날레 격년제 내부 문제로 개최 연도 ,이 자리에서 오 의원은 경기도자비엔날레는 년부터 격년 주기로 개최해 왔고 심지어 코로나 시기에도 진행됐으나 지난 년 개최 이후 년 미개최 년에 개최된 이유 를 질문했다 최문환 한국도자재단 대표이사는 ,0,0
3,팬오션 주가 힘찬 뱃노래 영업이익 등 실적호전 지속 부푼 꿈 , 코로나 팬데믹 이후 회복세가 지속되면서 글로벌 물동량이 증가하며 해운 시장이 활기를 띠고 있다 수요 증가에 따른 운임 상승이 영업이익 증가에 기여하고 있으며 선대 운영 효율화를 통해 비용을 절감하고 ,1,1
4,애경그룹 지주사 대표이사에 고준 플라자 대표 선임,이후 코로나 사태로 어려움을 겪던 년 플라자 대표이사로 자리를 옮겨 위기 극복을 위한 초석을 마련했다 플라자 대표이사 자리는 이강용 플라자 상품본부장이 상무로 승진해 맡는다 이강용 신임 ,1,0
5,하동군 청소년 문화교류단 자매도시 중국 호남성 장자제시 교류 방문,군 관계자는 코로나 로 중단된 교류를 다시 이어나가게 돼서 기쁘다 며 이번 교류를 통해 청소년들이 다양한 문화를 경험하고 세계관을 넓힐 수 있길 바란다 라고 밝혔다 장자제시의 민족중학교 문화교류단은 내년 ,0,0
6,울주군의회 건설위 한우불고기축제 정상화 방안 모색, 년부터 시작돼 매년 언양과 봉계 지역에서 번갈아 가며 격년제로 열려 오던 한우불고기축제는 아프리카 돼지열병 확산과 코로나 확산 등 외부적 영향으로 일정 기간 개최되지 못했다 년 년 만에 봉계 ,0,1
7,육림고개 주말 천 명 방문 시절 아 옛날이여 , 송예린 본인 한때 춘천의 경리단길 로 불렸던 춘천 원도심 상권 중 하나인 육림고개 골목은 코로나 코로나 전이기도 하고 시에서 신경 써줘서 청년들이 많이 와서 오픈하고 그랬어요 처음엔 잘 됐는데 뒤에 무슨 ,1,0
8,애경그룹 홀딩스 플라자 대표이사 교체 명 임원인사 단행,특히 년 월 플라자 대표이사로 부임한 후에는 코로나 팬데믹으로 어려움을 겪던 플라자의 위기 극복에 주력했다 홍대점의 컨셉 개편을 통해 실적 정상화를 이끄는 등 가시적인 성과를 거둔 것으로 ,0,1
9, 이노엔 타미플루 국내 유통 계약 체결, 코로나 팬데믹으로 발병률이 잠시 감소했으나 엔데믹 이후 년 넘게 독감 유행이 지속되면서 독감치료제 시장은 점차 성장하는 추세다 곽달원 이노엔 대표는 지난해 인플루엔자 치료제 조플루자 의 유통 및 ,0,0
